model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
1691,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1383,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
1453,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
1273,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
319,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
1799,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
1129,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
1265,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1441,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
573,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
559,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1203,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
1393,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
1221,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
949,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
1719,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
163,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
479,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1679,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
1365,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
107,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
561,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
505,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
731,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
915,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
971,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
177,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1375,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
1373,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
343,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
757,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
467,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1575,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
1285,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
937,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
1211,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
1499,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
97,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
1695,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
831,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1003,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
1571,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
1387,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
1191,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
285,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
347,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
1653,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
1155,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
1201,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
1509,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1443,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
635,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
735,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
383,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1085,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
845,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
1079,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
1199,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
145,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
575,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1715,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1707,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1697,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
519,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
1423,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
399,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1045,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
173,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1049,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
585,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
223,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
1309,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
889,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
1567,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
325,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
829,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1161,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
1463,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
1187,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
1781,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
1297,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
159,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
455,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1179,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
759,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1277,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
909,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
253,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
1115,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
815,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
155,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1561,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
669,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
1299,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1511,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1145,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
251,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
827,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1103,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
205,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
1731,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
11,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
819,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
239,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
817,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
179,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1363,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
219,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
1149,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
221,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
1505,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1091,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
1631,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
1097,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
71,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
1657,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
849,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
1717,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
