model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
66_train,0.96720,0.95800,0.91430,0.93265,0.97300,0.94300,0.95800,0.94466,0.97300,0.95862,0.95800
,,,,,,,,,,,
1512_test,0.91282,0.91250,0.82147,0.87624,0.91300,0.91200,0.91250,0.91209,0.91300,0.91254,0.91250
1512_train,0.94338,0.94400,0.88574,0.91953,0.94300,0.94500,0.94400,0.94489,0.94300,0.94394,0.94400
,,,,,,,,,,,
2832_test,0.91280,0.90550,0.80718,0.86348,0.91700,0.89400,0.90550,0.89638,0.91700,0.90657,0.90550
2832_train,0.97208,0.96750,0.93369,0.94908,0.97500,0.96000,0.96750,0.96059,0.97500,0.96774,0.96750
,,,,,,,,,,,
220_test,0.91272,0.91050,0.81738,0.87259,0.91400,0.90700,0.91050,0.90765,0.91400,0.91081,0.91050
220_train,0.96784,0.96600,0.93063,0.94886,0.96900,0.96300,0.96600,0.96322,0.96900,0.96610,0.96600
,,,,,,,,,,,
1110_test,0.91268,0.89300,0.78168,0.84193,0.92400,0.86200,0.89300,0.87006,0.92400,0.89622,0.89300
1110_train,0.94686,0.93350,0.86431,0.89692,0.95500,0.91200,0.93350,0.91563,0.95500,0.93490,0.93350
,,,,,,,,,,,
604_test,0.91263,0.90850,0.81330,0.86898,0.91500,0.90200,0.90850,0.90326,0.91500,0.90909,0.90850
604_train,0.95248,0.95000,0.89798,0.92589,0.95400,0.94600,0.95000,0.94643,0.95400,0.95020,0.95000
,,,,,,,,,,,
70_test,0.91233,0.89550,0.78678,0.84630,0.92200,0.86900,0.89550,0.87559,0.92200,0.89820,0.89550
70_train,0.96085,0.95100,0.90002,0.92259,0.96700,0.93500,0.95100,0.93702,0.96700,0.95177,0.95100
,,,,,,,,,,,
1984_test,0.91218,0.91250,0.82147,0.87658,0.91200,0.91300,0.91250,0.91291,0.91200,0.91246,0.91250
1984_train,0.95942,0.95850,0.91532,0.93884,0.96000,0.95700,0.95850,0.95713,0.96000,0.95856,0.95850
,,,,,,,,,,,
1032_test,0.91171,0.90250,0.80106,0.85869,0.91700,0.88800,0.90250,0.89116,0.91700,0.90389,0.90250
1032_train,0.97386,0.97050,0.93981,0.95421,0.97600,0.96500,0.97050,0.96538,0.97600,0.97066,0.97050
,,,,,,,,,,,
912_test,0.91163,0.90750,0.81126,0.86768,0.91400,0.90100,0.90750,0.90227,0.91400,0.90810,0.90750
912_train,0.96707,0.96400,0.92655,0.94516,0.96900,0.95900,0.96400,0.95941,0.96900,0.96418,0.96400
,,,,,,,,,,,
2884_test,0.91146,0.91400,0.82453,0.87978,0.91000,0.91800,0.91400,0.91734,0.91000,0.91365,0.91400
2884_train,0.95295,0.95450,0.90716,0.93486,0.95200,0.95700,0.95450,0.95678,0.95200,0.95439,0.95450
,,,,,,,,,,,
798_test,0.91144,0.90350,0.80310,0.86059,0.91600,0.89100,0.90350,0.89366,0.91600,0.90469,0.90350
798_train,0.95651,0.95250,0.90308,0.92838,0.95900,0.94600,0.95250,0.94669,0.95900,0.95281,0.95250
,,,,,,,,,,,
1162_test,0.91133,0.88750,0.77046,0.83343,0.92500,0.85000,0.88750,0.86047,0.92500,0.89157,0.88750
1162_train,0.93329,0.91700,0.83065,0.87379,0.94300,0.89100,0.91700,0.89639,0.94300,0.91910,0.91700
,,,,,,,,,,,
2800_test,0.91115,0.89050,0.77658,0.83843,0.92300,0.85800,0.89050,0.86667,0.92300,0.89395,0.89050
2800_train,0.94041,0.92450,0.84595,0.88371,0.95000,0.89900,0.92450,0.90390,0.95000,0.92638,0.92450
,,,,,,,,,,,
218_test,0.91107,0.89550,0.78678,0.84686,0.92000,0.87100,0.89550,0.87703,0.92000,0.89800,0.89550
218_train,0.95711,0.94600,0.88982,0.91500,0.96400,0.92800,0.94600,0.93050,0.96400,0.94695,0.94600
,,,,,,,,,,,
702_test,0.91103,0.85700,0.70822,0.78743,0.94200,0.77200,0.85700,0.80513,0.94200,0.86820,0.85700
702_train,0.94050,0.90650,0.80922,0.85225,0.96100,0.85200,0.90650,0.86655,0.96100,0.91133,0.90650
,,,,,,,,,,,
2704_test,0.91099,0.90050,0.79698,0.85553,0.91700,0.88400,0.90050,0.88771,0.91700,0.90212,0.90050
2704_train,0.97086,0.96750,0.93369,0.94993,0.97300,0.96200,0.96750,0.96241,0.97300,0.96768,0.96750
,,,,,,,,,,,
1564_test,0.91090,0.90200,0.80004,0.85820,0.91600,0.88800,0.90200,0.89105,0.91600,0.90335,0.90200
1564_train,0.97305,0.97000,0.93879,0.95371,0.97500,0.96500,0.97000,0.96535,0.97500,0.97015,0.97000
