model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
1687_test,0.84965,0.86450,0.72353,0.82137,0.84200,0.88700,0.86450,0.88168,0.84200,0.86138,0.86450
1687_train,0.93864,0.95300,0.90410,0.94160,0.93000,0.97600,0.95300,0.97484,0.93000,0.95189,0.95300
,,,,,,,,,,,
1179_test,0.84965,0.86450,0.72353,0.82137,0.84200,0.88700,0.86450,0.88168,0.84200,0.86138,0.86450
1179_train,0.88698,0.90150,0.79902,0.86955,0.87900,0.92400,0.90150,0.92042,0.87900,0.89923,0.90150
,,,,,,,,,,,
139_test,0.84919,0.83400,0.66129,0.77365,0.85700,0.81100,0.83400,0.81931,0.85700,0.83773,0.83400
139_train,0.90348,0.89550,0.78678,0.85036,0.90800,0.88300,0.89550,0.88585,0.90800,0.89679,0.89550
,,,,,,,,,,,
785_test,0.84909,0.85900,0.71230,0.81237,0.84400,0.87400,0.85900,0.87010,0.84400,0.85685,0.85900
785_train,0.95319,0.96000,0.91838,0.94636,0.94900,0.97100,0.96000,0.97035,0.94900,0.95956,0.96000
,,,,,,,,,,,
147_test,0.84907,0.78700,0.56539,0.71283,0.88100,0.69300,0.78700,0.74158,0.88100,0.80530,0.78700
147_train,0.81687,0.74450,0.47868,0.67145,0.85200,0.63700,0.74450,0.70123,0.85200,0.76930,0.74450
,,,,,,,,,,,
851_test,0.84881,0.84650,0.68680,0.79248,0.85000,0.84300,0.84650,0.84409,0.85000,0.84704,0.84650
851_train,0.95219,0.95250,0.90308,0.93121,0.95200,0.95300,0.95250,0.95295,0.95200,0.95248,0.95250
,,,,,,,,,,,
1667_test,0.84805,0.83450,0.66231,0.77473,0.85500,0.81400,0.83450,0.82133,0.85500,0.83782,0.83450
1667_train,0.86405,0.84900,0.69190,0.79094,0.87200,0.82600,0.84900,0.83365,0.87200,0.85239,0.84900
,,,,,,,,,,,
1727_test,0.84765,0.86450,0.72353,0.82225,0.83900,0.89000,0.86450,0.88409,0.83900,0.86095,0.86450
1727_train,0.93085,0.95250,0.90308,0.94618,0.91800,0.98700,0.95250,0.98604,0.91800,0.95080,0.95250
,,,,,,,,,,,
973_test,0.84647,0.71650,0.42155,0.64190,0.91300,0.52000,0.71650,0.65542,0.91300,0.76306,0.71650
973_train,0.93528,0.87050,0.73577,0.79898,0.97400,0.76700,0.87050,0.80696,0.97400,0.88265,0.87050
,,,,,,,,,,,
1741_test,0.84600,0.84600,0.68578,0.79272,0.84600,0.84600,0.84600,0.84600,0.84600,0.84600,0.84600
1741_train,0.97058,0.97150,0.94185,0.95873,0.97000,0.97300,0.97150,0.97292,0.97000,0.97146,0.97150
,,,,,,,,,,,
1563_test,0.84598,0.84400,0.68170,0.78963,0.84700,0.84100,0.84400,0.84195,0.84700,0.84447,0.84400
1563_train,0.96723,0.96600,0.93063,0.94929,0.96800,0.96400,0.96600,0.96414,0.96800,0.96607,0.96600
,,,,,,,,,,,
1357_test,0.84521,0.80450,0.60110,0.73481,0.86600,0.74300,0.80450,0.77115,0.86600,0.81583,0.80450
1357_train,0.90102,0.89750,0.79086,0.85504,0.90300,0.89200,0.89750,0.89318,0.90300,0.89806,0.89750
,,,,,,,,,,,
1689_test,0.84510,0.85900,0.71230,0.81403,0.83800,0.88000,0.85900,0.87474,0.83800,0.85598,0.85900
1689_train,0.94499,0.95650,0.91124,0.94465,0.93800,0.97500,0.95650,0.97404,0.93800,0.95568,0.95650
,,,,,,,,,,,
159_test,0.84503,0.82550,0.64395,0.76280,0.85500,0.79600,0.82550,0.80737,0.85500,0.83050,0.82550
159_train,0.86987,0.85650,0.70720,0.80034,0.87700,0.83600,0.85650,0.84246,0.87700,0.85938,0.85650
,,,,,,,,,,,
971_test,0.84483,0.84450,0.68272,0.79081,0.84500,0.84400,0.84450,0.84416,0.84500,0.84458,0.84450
971_train,0.98120,0.98150,0.96225,0.97282,0.98100,0.98200,0.98150,0.98198,0.98100,0.98149,0.98150
,,,,,,,,,,,
1003_test,0.84429,0.78800,0.56744,0.71489,0.87300,0.70300,0.78800,0.74615,0.87300,0.80461,0.78800
1003_train,0.95884,0.94250,0.88268,0.90720,0.96900,0.91600,0.94250,0.92023,0.96900,0.94398,0.94250
,,,,,,,,,,,
1061_test,0.84421,0.82500,0.64293,0.76233,0.85400,0.79600,0.82500,0.80718,0.85400,0.82993,0.82500
1061_train,0.89667,0.88000,0.75515,0.82726,0.90600,0.85400,0.88000,0.86122,0.90600,0.88304,0.88000
,,,,,,,,,,,
1581_test,0.84418,0.54050,0.06244,0.52111,0.99900,0.08200,0.54050,0.52113,0.99900,0.68495,0.54050
1581_train,0.85268,0.57000,0.12263,0.53764,0.99900,0.14100,0.57000,0.53767,0.99900,0.69909,0.57000
,,,,,,,,,,,
1715_test,0.84412,0.73450,0.45827,0.65856,0.90000,0.56900,0.73450,0.67618,0.90000,0.77220,0.73450
1715_train,0.92077,0.85350,0.70108,0.77977,0.96000,0.74700,0.85350,0.79143,0.96000,0.86760,0.85350
,,,,,,,,,,,
181_test,0.84387,0.84950,0.69292,0.79901,0.84100,0.85800,0.84950,0.85554,0.84100,0.84821,0.84950
