model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_1003,0.84429,0.78800,0.56744,0.71489,0.87300,0.70300,0.8284843268848601,0.78800,0.74615,0.87300,0.80461,0.78800
model_1061,0.84421,0.82500,0.64293,0.76233,0.85400,0.79600,0.851339628765299,0.82500,0.80718,0.85400,0.82993,0.82500
model_1581,0.84418,0.54050,0.06244,0.52111,0.99900,0.08200,0.8651043124101012,0.54050,0.52113,0.99900,0.68495,0.54050
model_1715,0.84412,0.73450,0.45827,0.65856,0.90000,0.56900,nan,0.73450,0.67618,0.90000,0.77220,0.73450
model_181,0.84387,0.84950,0.69292,0.79901,0.84100,0.85800,0.947748130340842,0.84950,0.85554,0.84100,0.84821,0.84950
model_71,0.84334,0.84400,0.68170,0.79057,0.84300,0.84500,0.9686237047080859,0.84400,0.84469,0.84300,0.84384,0.84400
model_1565,0.84265,0.84000,0.67354,0.78468,0.84400,0.83600,0.9724048991952468,0.84000,0.83730,0.84400,0.84064,0.84000
model_963,0.84248,0.83950,0.67252,0.78398,0.84400,0.83500,0.9709519944464895,0.83950,0.83647,0.84400,0.84022,0.83950
model_1713,0.84081,0.68850,0.36442,0.61860,0.91800,0.45900,nan,0.68850,0.62920,0.91800,0.74664,0.68850
model_1705,0.84075,0.59950,0.18282,0.55548,0.96300,0.23600,nan,0.59950,0.55761,0.96300,0.70627,0.59950
model_609,0.84052,0.84550,0.68476,0.79394,0.83800,0.85300,0.971926859486631,0.84550,0.85076,0.83800,0.84433,0.84550
model_607,0.84052,0.84550,0.68476,0.79394,0.83800,0.85300,0.9704552573611938,0.84550,0.85076,0.83800,0.84433,0.84550
model_845,0.84050,0.84150,0.67660,0.78772,0.84000,0.84300,0.9677151910951878,0.84150,0.84253,0.84000,0.84126,0.84150
model_1507,0.84033,0.83900,0.67150,0.78396,0.84100,0.83700,0.9737235805912845,0.83900,0.83765,0.84100,0.83932,0.83900
model_683,0.84026,0.66300,0.31239,0.59882,0.93000,0.39600,0.830499981226546,0.66300,0.60626,0.93000,0.73402,0.66300
model_381,0.84024,0.73800,0.46542,0.66231,0.89200,0.58400,0.8756791442366583,0.73800,0.68196,0.89200,0.77296,0.73800
model_801,0.83950,0.83850,0.67048,0.78349,0.84000,0.83700,nan,0.83850,0.83749,0.84000,0.83874,0.83850
model_1597,0.83947,0.83050,0.65415,0.77161,0.84400,0.81700,0.8216342017054558,0.83050,0.82181,0.84400,0.83276,0.83050
model_1607,0.83943,0.82050,0.63375,0.75743,0.84900,0.79200,0.8157961467901865,0.82050,0.80322,0.84900,0.82547,0.82050
model_1139,0.83942,0.81850,0.62967,0.75468,0.85000,0.78700,nan,0.81850,0.79962,0.85000,0.82404,0.81850
model_1339,0.83886,0.79700,0.58580,0.72684,0.86000,0.73400,0.892695242896091,0.79700,0.76377,0.86000,0.80903,0.79700
model_1567,0.83883,0.83850,0.67048,0.78372,0.83900,0.83800,0.9719788373346395,0.83850,0.83816,0.83900,0.83858,0.83850
model_671,0.83866,0.83800,0.66946,0.78302,0.83900,0.83700,0.9671784908843762,0.83800,0.83733,0.83900,0.83816,0.83800
model_1543,0.83859,0.65550,0.29708,0.59334,0.93100,0.38000,0.8172316466059003,0.65550,0.60026,0.93100,0.72991,0.65550
model_1055,0.83781,0.82950,0.65211,0.77067,0.84200,0.81700,0.8486523826917013,0.82950,0.82146,0.84200,0.83160,0.82950
model_493,0.83771,0.78950,0.57050,0.71795,0.86200,0.71700,0.9086595127138041,0.78950,0.75284,0.86200,0.80373,0.78950
