model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_717,0.81473,0.77900,0.54907,0.70988,0.83200,0.72600,nan,0.77900,0.75226,0.83200,0.79012,0.77900
model_433,0.81462,0.80350,0.59906,0.74092,0.82000,0.78700,0.8696416235632367,0.80350,0.79380,0.82000,0.80669,0.80350
model_449,0.81437,0.69300,0.37360,0.62389,0.87300,0.51300,nan,0.69300,0.64191,0.87300,0.73983,0.69300
model_1205,0.81416,0.82900,0.65109,0.77772,0.80700,0.85100,0.9682576898585029,0.82900,0.84414,0.80700,0.82515,0.82900
model_779,0.81414,0.84550,0.68476,0.80436,0.79900,0.89200,0.8097267943620682,0.84550,0.88093,0.79900,0.83797,0.84550
model_439,0.81398,0.78700,0.56539,0.71977,0.82700,0.74700,0.881136249400333,0.78700,0.76574,0.82700,0.79519,0.78700
model_339,0.81384,0.82800,0.64905,0.77630,0.80700,0.84900,0.8639077068923355,0.82800,0.84238,0.80700,0.82431,0.82800
model_77,0.81368,0.61200,0.20832,0.56385,0.91100,0.31300,0.8607194568139218,0.61200,0.57009,0.91100,0.70131,0.61200
model_373,0.81364,0.75900,0.50826,0.68723,0.84000,0.67800,0.8771982268426428,0.75900,0.72289,0.84000,0.77706,0.75900
model_935,0.81321,0.69750,0.38278,0.62779,0.86900,0.52600,0.8268824307644953,0.69750,0.64706,0.86900,0.74178,0.69750
model_1449,0.81318,0.82600,0.64497,0.77347,0.80700,0.84500,0.9661671591910306,0.82600,0.83888,0.80700,0.82263,0.82600
model_1323,0.81308,0.83400,0.66129,0.78593,0.80300,0.86500,0.9702672639318535,0.83400,0.85608,0.80300,0.82869,0.83400
model_483,0.81297,0.82950,0.65211,0.77891,0.80500,0.85400,0.9685805673150232,0.82950,0.84648,0.80500,0.82522,0.82950
model_567,0.81263,0.59800,0.17976,0.55487,0.91600,0.28000,0.8372253775596619,0.59800,0.55990,0.91600,0.69499,0.59800
model_1417,0.81260,0.81800,0.62865,0.76177,0.81000,0.82600,0.8900565610709765,0.81800,0.82317,0.81000,0.81653,0.81800
model_577,0.81259,0.83250,0.65823,0.78374,0.80300,0.86200,0.8962575516583007,0.83250,0.85335,0.80300,0.82741,0.83250
model_1455,0.81198,0.74750,0.48480,0.67518,0.84300,0.65200,0.8885114658307037,0.74750,0.70781,0.84300,0.76951,0.74750
model_379,0.81186,0.79700,0.58580,0.73299,0.81900,0.77500,0.9182832470454647,0.79700,0.78448,0.81900,0.80137,0.79700
model_539,0.81185,0.52250,0.02571,0.51152,0.95100,0.09400,nan,0.52250,0.51212,0.95100,0.66573,0.52250
model_431,0.81179,0.82800,0.64905,0.77701,0.80400,0.85200,0.9717085682862514,0.82800,0.84454,0.80400,0.82377,0.82800
model_1213,0.81127,0.80350,0.59906,0.74179,0.81500,0.79200,0.8863541225276926,0.80350,0.79668,0.81500,0.80573,0.80350
model_403,0.81110,0.79050,0.57254,0.72479,0.82100,0.76000,0.878117621066619,0.79050,0.77380,0.82100,0.79670,0.79050
model_311,0.81095,0.82750,0.64803,0.77653,0.80300,0.85200,0.9687531687202254,0.82750,0.84437,0.80300,0.82317,0.82750
model_1303,0.81092,0.77950,0.55009,0.71122,0.82600,0.73300,0.8976655207348593,0.77950,0.75572,0.82600,0.78930,0.77950
model_549,0.81067,0.83500,0.66333,0.78843,0.79900,0.87100,0.966193876804844,0.83500,0.86099,0.79900,0.82884,0.83500
model_491,0.81062,0.82650,0.64599,0.77511,0.80300,0.85000,0.9671732753715259,0.82650,0.84260,0.80300,0.82232,0.82650
model_809,0.81041,0.65700,0.30014,0.59545,0.88400,0.43000,nan,0.65700,0.60798,0.88400,0.72046,0.65700
model_1331,0.81010,0.82700,0.64701,0.77606,0.80200,0.85200,0.9655390952609776,0.82700,0.84421,0.80200,0.82256,0.82700
model_1345,0.80988,0.62600,0.23689,0.57328,0.89800,0.35400,nan,0.62600,0.58161,0.89800,0.70597,0.62600
model_587,0.80960,0.80250,0.59702,0.74087,0.81300,0.79200,0.8505044065581427,0.80250,0.79628,0.81300,0.80455,0.80250
model_1755,0.80931,0.70550,0.39910,0.63506,0.85900,0.55200,0.8447839617729187,0.70550,0.65723,0.85900,0.74469,0.70550
model_361,0.80884,0.83150,0.65619,0.78353,0.79800,0.86500,0.9683459352341063,0.83150,0.85531,0.79800,0.82566,0.83150
model_751,0.80882,0.84400,0.68170,0.80407,0.79200,0.89600,nan,0.84400,0.88393,0.79200,0.83544,0.84400
model_659,0.80878,0.83550,0.66435,0.78997,0.79600,0.87500,0.8586131653946298,0.83550,0.86428,0.79600,0.82874,0.83550
model_595,0.80877,0.75600,0.50214,0.68469,0.83400,0.67800,nan,0.75600,0.72145,0.83400,0.77365,0.75600
model_413,0.80857,0.74700,0.48378,0.67512,0.83800,0.65600,nan,0.74700,0.70897,0.83800,0.76810,0.74700
model_377,0.80846,0.81150,0.61538,0.75366,0.80700,0.81600,0.8630842254046471,0.81150,0.81433,0.80700,0.81065,0.81150
model_1727,0.80835,0.80700,0.60620,0.74737,0.80900,0.80500,0.811959445476532,0.80700,0.80578,0.80900,0.80739,0.80700
model_369,0.80808,0.82500,0.64293,0.77368,0.80000,0.85000,0.9692363083042983,0.82500,0.84211,0.80000,0.82051,0.82500
model_83,0.80794,0.62350,0.23179,0.57162,0.89600,0.35100,0.8395687186908071,0.62350,0.57994,0.89600,0.70413,0.62350
model_463,0.80775,0.81350,0.61947,0.75673,0.80500,0.82200,0.8553454143794503,0.81350,0.81892,0.80500,0.81190,0.81350
model_309,0.80772,0.82600,0.64497,0.77534,0.79900,0.85300,0.9678659412316004,0.82600,0.84461,0.79900,0.82117,0.82600
model_1325,0.80750,0.82950,0.65211,0.78087,0.79700,0.86200,0.9664771721227882,0.82950,0.85241,0.79700,0.82377,0.82950
model_1487,0.80727,0.82250,0.63783,0.77016,0.80000,0.84500,0.8905653747228476,0.82250,0.83770,0.80000,0.81841,0.82250
