model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
62,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1602,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
236,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1082,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1120,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
842,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1320,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,20
540,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,20
186,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1152,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
1126,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
182,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
244,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
126,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
862,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
850,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
278,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
1682,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1114,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
612,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
1632,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
188,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
782,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
918,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
662,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1566,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
160,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
1188,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
922,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
1696,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1626,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
1568,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1130,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
758,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
1096,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
818,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
2,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
184,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
962,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
792,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
50,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
128,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
1688,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1178,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
970,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1048,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
830,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
70,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
990,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
816,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1138,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
400,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,20
1698,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1570,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1312,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,20
786,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
116,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1692,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
804,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1724,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1726,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
194,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1700,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
42,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
1718,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1594,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
