model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
771,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
2955,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
1505,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
2461,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",sigmoid,10
2587,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
2441,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",relu,10
241,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
1507,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
2467,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",sigmoid,10
961,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
1569,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
2471,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",sigmoid,10
1565,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
2623,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
793,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1927,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,10
1721,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2645,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
1717,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1809,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,10
2583,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1103,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2857,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,10
1923,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,10
1875,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
1867,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
127,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
2889,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
969,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
2949,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
233,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
2617,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1141,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
2771,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
1511,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1925,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,10
829,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1509,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1625,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
