,0
PINSCOST,298
PINSCOS1,295
PRFRATE,11
A__merge1,0
INTERVIE,8
CLUSTER,8
HOUSEHOL,8
DATE_RUDAS,9
VISUO1,8
VISUO2,9
VISUO3,9
VISUO4,9
VISUO5,9
VISUO6,223
VISUO7,223
VISUO8,224
VISUOTOT,8
PRAXIS,8
DRAW1,9
DRAW2,10
DRAW3,11
DRAWTOT,8
JUDGE1,8
JUDGE2,8
JUDGETOT,8
RECALLTE,9
RECALLOI,12
RECALLEG,8
RECALLSO,13
RECALLTO,8
ANIMAL1,8
ANIMAL2,8
ANIMAL3,8
ANIMAL4,11
ANIMAL5,11
ANIMAL6,24
ANIMAL7,37
ANIMAL8,50
ANIMALTO,8
TOTALRUD,8
A__merge,0
educ_new,0
edu_new2,0
pmarry_new,12
palcpast_new,16
palcpast_new2,16
palcnow_new,431
filter__,0
palcnow_new2,431
education_binary,0
pincofa_binary,16
mental_disorders_binary,0
physical_activity_binary,12
PULSE,10
BPSYS1,10
BPDIAS1,10
BPSYS2,10
BPDIAS2,10
BPSYS3,10
BPDIAS3,10
ARMCIRC,11
CALFCIRC,12
SKCIRC,11
WSTCIRC,11
HIPCIRC,11
HEIGHT,12
LGLENGTH,12
WEIGHT,11
DENTURE,10
CHEWING,11
LVLCONS1,10
LVLCONS2,10
LVLCONS3,11
NEO12A,13
NEO12B,17
NEO12C,14
NEO13D,14
NEO14E,14
NEO14G,14
BEDB,11
MEANDIAS123,10
MEANSYS123,10
BMI,12
BMI_corrected,14
BMI_categorized,14
BMI_categorized_new,14
BMI_cat,23
BMI_cat_new,23
HTN_measured,178
HTN,10
HTN_combined,11
HTN_combined_binary,11
HTN_status_four,14
HTN_status_three,14
HTN_status_3_told,14
Age_cat,0
MS_ever,12
YRSMCIG,342
CIGPKYR,343
CIGPKYR2,41
CIGSMKSTATUS,37
ARGSMKSTATUS,171
YRSMARG,473
ARGHDYR,476
ARGHDYR2,174
CIGSTATSEC,37
CIGSTATSEC_2,37
YRSMTOB,318
TOBDOSE,316
PACKYRTOB,320
PACKYRTOB2,18
CIGPKYR2_cat,41
CIGPKYR2_dichotomous,41
CIGPKYR2_30,41
carerel_binary,1
BPTIME,11
BPTIME_new,12
HRTTIME,11
HRTTIME_new,13
BPTIME_2,11
BPTIME_new_2,12
HRTTIME_2,11
HRTTIME_new_2,13
CVD_RF_NUM,30
CVD_RF_CAT,30
catrend,0
sigca,0
CINCOM_NO,1
CAREWHO1_REC,439
XBPredicted_1,3
Leverage_1,3
Residual_1,6
