model,miter,mbs,mlr,ulr,dh,afn,nu,encoding,num_vertex,num_filters,emb_loss_weight,weights,sampling_strategy
model_198,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.1,"1, 1",all
model_216,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.1,"1, 1",all
model_264,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.1,"1, 1",0.5
model_242,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.1,"1, 1",0.5
model_202,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.1,"1, 1",all
model_254,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.1,"1, 1",0.5
model_210,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.1,"1, 1",all
model_258,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.1,"1, 1",0.5
model_250,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.1,"1, 1",0.5
model_148,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.1,"1, 1",all
model_164,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.1,"1, 1",all
model_252,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.1,"1, 1",0.5
model_160,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.1,"1, 1",all
model_212,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.1,"1, 1",all
model_213,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.01,"1, 1",all
model_259,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.01,"1, 1",0.5
model_147,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.01,"1, 1",all
model_159,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.01,"1, 1",all
model_215,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.01,"1, 1",all
model_149,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.01,"1, 1",all
model_261,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.01,"1, 1",0.5
model_151,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.01,"1, 1",all
model_153,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.01,"1, 1",all
model_211,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.01,"1, 1",all
model_199,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.01,"1, 1",all
model_155,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.01,"1, 1",all
model_243,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.01,"1, 1",0.5
model_251,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.01,"1, 1",0.5
model_209,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.01,"1, 1",all
model_165,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.01,"1, 1",all
model_241,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.01,"1, 1",0.5
model_163,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.01,"1, 1",all
model_245,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.01,"1, 1",0.5
model_253,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.01,"1, 1",0.5
model_195,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.01,"1, 1",all
model_161,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.01,"1, 1",all
model_257,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.01,"1, 1",0.5
model_145,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.01,"1, 1",all
model_203,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.01,"1, 1",all
model_207,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.01,"1, 1",all
model_197,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.01,"1, 1",all
model_167,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.01,"1, 1",all
model_205,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.01,"1, 1",all
model_201,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.01,"1, 1",all
model_249,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.01,"1, 1",0.5
model_263,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.01,"1, 1",0.5
model_157,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.01,"1, 1",all
model_193,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.01,"1, 1",all
model_247,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.01,"1, 1",0.5
model_255,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.01,"1, 1",0.5
model_170,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.1,"1, 1",all
model_192,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.1,"1, 1",all
model_182,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.1,"1, 1",all
model_188,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.1,"1, 1",all
model_174,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.1,"1, 1",all
model_186,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.1,"1, 1",all
model_184,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.1,"1, 1",all
model_180,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.1,"1, 1",all
model_176,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.1,"1, 1",all
model_178,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.1,"1, 1",all
model_190,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.1,"1, 1",all
model_172,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.1,"1, 1",all
