model,miter,mbs,mlr,ulr,dh,afn,nu,ifp,weights,sampling_strategy,encoding
model_369,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",not minority,target
model_373,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",all,catboost
model_105,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.75,target
model_215,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.75,james
model_13,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",all,catboost
model_305,1000,16,0.1,0.1,128,relu,4,0,"10, 1",all,james
model_284,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.75,glmm
model_32,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.75,glmm
model_182,1000,16,0.1,0.1,128,relu,4,0,"1, 1",minority,glmm
model_9,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",not minority,target
model_282,1000,16,0.1,0.1,128,relu,4,0,"1, 100",1,woe
model_59,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",0.5,james
model_202,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.5,mestimator
model_47,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",not minority,james
model_209,1000,16,0.1,0.1,128,relu,4,0,"1, 1",1,james
model_175,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.75,catboost
model_352,1000,16,0.1,0.1,128,relu,4,0,"100, 1",1,mestimator
model_61,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",1,catboost
model_17,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",all,james
model_181,1000,16,0.1,0.1,128,relu,4,0,"1, 1",minority,catboost
model_353,1000,16,0.1,0.1,128,relu,4,0,"100, 1",1,james
model_2,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",minority,glmm
model_177,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.75,target
model_379,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.5,catboost
model_280,1000,16,0.1,0.1,128,relu,4,0,"1, 100",1,mestimator
model_203,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.5,james
model_82,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",not minority,mestimator
model_386,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",1,glmm
model_165,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.5,target
model_364,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",minority,mestimator
model_347,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.5,james
model_35,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.75,james
model_86,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",all,glmm
model_214,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.75,mestimator
model_288,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.75,woe
model_199,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.5,catboost
model_381,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.5,target
model_10,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",not minority,mestimator
model_104,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.75,glmm
model_205,1000,16,0.1,0.1,128,relu,4,0,"1, 1",1,catboost
model_184,1000,16,0.1,0.1,128,relu,4,0,"1, 1",minority,mestimator
model_84,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",not minority,woe
model_158,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",all,glmm
model_329,1000,16,0.1,0.1,128,relu,4,0,"100, 1",minority,james
model_211,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.75,catboost
model_376,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",all,mestimator
model_269,1000,16,0.1,0.1,128,relu,4,0,"1, 100",all,james
model_326,1000,16,0.1,0.1,128,relu,4,0,"100, 1",minority,glmm
model_16,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",all,mestimator
model_197,1000,16,0.1,0.1,128,relu,4,0,"1, 1",all,james
model_365,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",minority,james
model_204,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.5,woe
model_19,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.5,catboost
model_107,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.75,james
model_273,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.5,target
model_333,1000,16,0.1,0.1,128,relu,4,0,"100, 1",not minority,target
model_96,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.5,woe
model_200,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.5,glmm
model_180,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.75,woe
model_389,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",1,james
model_78,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",minority,woe
model_192,1000,16,0.1,0.1,128,relu,4,0,"1, 1",not minority,woe
model_275,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.5,james
model_74,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",minority,glmm
model_98,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",1,glmm
model_88,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",all,mestimator
model_193,1000,16,0.1,0.1,128,relu,4,0,"1, 1",all,catboost
model_156,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",not minority,woe
model_89,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",all,james
model_222,1000,16,0.1,0.1,128,relu,4,0,"1, 10",minority,woe
model_356,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.75,glmm
model_271,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.5,catboost
model_108,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.75,woe
model_75,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",minority,target
model_332,1000,16,0.1,0.1,128,relu,4,0,"100, 1",not minority,glmm
model_171,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",1,target
model_87,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",all,target
model_161,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",all,james
model_4,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",minority,mestimator
model_80,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",not minority,glmm
