model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_6494,0.96845,0.96600,0.93063,0.94843,0.97000,0.96200,nan,0.96600,0.96230,0.97000,0.96614,0.96600
model_14608,0.96845,0.95650,0.91124,0.92882,0.97600,0.93700,nan,0.95650,0.93936,0.97600,0.95733,0.95650
model_29768,0.96842,0.96750,0.93369,0.95165,0.96900,0.96600,0.9703078456301438,0.96750,0.96610,0.96900,0.96755,0.96750
model_38082,0.96841,0.94850,0.89492,0.91313,0.98100,0.91600,0.8853348864052824,0.94850,0.92113,0.98100,0.95012,0.94850
model_30486,0.96839,0.96900,0.93675,0.95490,0.96800,0.97000,nan,0.96900,0.96994,0.96800,0.96897,0.96900
model_11536,0.96839,0.96900,0.93675,0.95490,0.96800,0.97000,0.8913901016484722,0.96900,0.96994,0.96800,0.96897,0.96900
model_6512,0.96838,0.95000,0.89798,0.91604,0.98000,0.92000,nan,0.95000,0.92453,0.98000,0.95146,0.95000
model_30520,0.96836,0.97050,0.93981,0.95818,0.96700,0.97400,nan,0.97050,0.97382,0.96700,0.97040,0.97050
model_31416,0.96825,0.95600,0.91022,0.92794,0.97600,0.93600,nan,0.95600,0.93846,0.97600,0.95686,0.95600
model_27832,0.96825,0.95600,0.91022,0.92794,0.97600,0.93600,nan,0.95600,0.93846,0.97600,0.95686,0.95600
model_26908,0.96822,0.95750,0.91328,0.93098,0.97500,0.94000,nan,0.95750,0.94203,0.97500,0.95823,0.95750
model_14284,0.96819,0.96850,0.93573,0.95396,0.96800,0.96900,0.9685728871786197,0.96850,0.96897,0.96800,0.96848,0.96850
model_30364,0.96816,0.97000,0.93879,0.95723,0.96700,0.97300,0.9697776728811477,0.97000,0.97284,0.96700,0.96991,0.97000
model_17056,0.96803,0.95700,0.91226,0.93009,0.97500,0.93900,0.813794820205025,0.95700,0.94112,0.97500,0.95776,0.95700
model_38678,0.96803,0.95700,0.91226,0.93009,0.97500,0.93900,0.8546916259305775,0.95700,0.94112,0.97500,0.95776,0.95700
model_37708,0.96800,0.94900,0.89594,0.91433,0.98000,0.91800,nan,0.94900,0.92279,0.98000,0.95053,0.94900
model_27844,0.96797,0.96950,0.93777,0.95629,0.96700,0.97200,0.9825336331495776,0.96950,0.97186,0.96700,0.96942,0.96950
model_23296,0.96797,0.96950,0.93777,0.95629,0.96700,0.97200,nan,0.96950,0.97186,0.96700,0.96942,0.96950
model_31422,0.96797,0.96950,0.93777,0.95629,0.96700,0.97200,nan,0.96950,0.97186,0.96700,0.96942,0.96950
model_30610,0.96797,0.96950,0.93777,0.95629,0.96700,0.97200,0.9757802109867656,0.96950,0.97186,0.96700,0.96942,0.96950
