model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_310,0.42995,0.64787,0.28973,0.64062,0.42495,0.87600,0.9439582413316796,0.63938,0.63586,0.42495,0.44901,0.65048
model_85,0.42588,0.63790,0.25944,0.63248,0.41940,0.86220,0.962743265444948,0.62145,0.64002,0.41940,0.45064,0.64080
model_540,0.42135,0.62469,0.23817,0.61737,0.44896,0.80878,0.9617879848447712,0.61559,0.41904,0.44896,0.39327,0.62887
model_56,0.41944,0.64876,0.29018,0.64523,0.38861,0.91283,0.8618491100931102,0.63832,0.73904,0.38861,0.48372,0.65072
model_453,0.41860,0.54680,0.08196,0.54929,0.48164,0.62192,0.9753359917657063,0.54173,0.28015,0.48164,0.35198,0.55178
model_226,0.41634,0.64501,0.28573,0.63219,0.42990,0.86726,0.9790421767754377,0.63761,0.39090,0.42990,0.40008,0.64858
model_461,0.41262,0.62515,0.23926,0.61673,0.42109,0.83569,0.9921592543939247,0.61328,0.44548,0.42109,0.40958,0.62839
model_53,0.41076,0.61724,0.22310,0.62064,0.38122,0.85708,0.9364915740217338,0.60707,0.72350,0.38122,0.47335,0.61915
model_45,0.40999,0.64339,0.27327,0.64276,0.38506,0.90683,0.8959322677715942,0.62447,0.79931,0.38506,0.46703,0.64595
model_331,0.40458,0.62597,0.23565,0.61950,0.40183,0.85670,0.9959578576745032,0.61080,0.54892,0.40183,0.42006,0.62927
model_92,0.40335,0.62555,0.23274,0.62787,0.40233,0.85643,0.9636306966256873,0.60405,0.55824,0.40233,0.41925,0.62938
model_286,0.40170,0.62965,0.24261,0.61964,0.41925,0.84719,0.9943036567488243,0.61364,0.48980,0.41925,0.38546,0.63322
model_151,0.39743,0.61762,0.21975,0.61126,0.40627,0.83588,0.9867680240777851,0.60423,0.48351,0.40627,0.39549,0.62107
model_359,0.39021,0.62292,0.22600,0.61941,0.37310,0.87806,0.9761196050225582,0.60369,0.68820,0.37310,0.43296,0.62558
model_342,0.38535,0.61634,0.20880,0.61930,0.39181,0.84902,0.9899016084133991,0.59286,0.60651,0.39181,0.39307,0.62041
model_517,0.37945,0.59680,0.16566,0.61433,0.39385,0.80699,0.9827761458224993,0.57741,0.48094,0.39385,0.36801,0.60042
model_112,0.36997,0.63435,0.26302,0.64024,0.34622,0.92856,0.8594019107035502,0.62003,0.70838,0.34622,0.42218,0.63739
model_217,0.36899,0.63683,0.26710,0.64105,0.33245,0.94636,0.9330001613642909,0.62624,0.79984,0.33245,0.44798,0.63941
model_421,0.36400,0.63629,0.26292,0.64531,0.33221,0.94616,0.8845903872044365,0.61665,0.75299,0.33221,0.43138,0.63918
model_39,0.35967,0.64001,0.26686,0.64759,0.33125,0.95491,0.9207559766076766,0.62287,0.75256,0.33125,0.42253,0.64308
model_301,0.35609,0.63595,0.26552,0.64116,0.32632,0.95137,0.9324042206538771,0.62624,0.77841,0.32632,0.42241,0.63884
model_527,0.35473,0.59205,0.17665,0.58731,0.38609,0.80744,0.9640724269218311,0.58683,0.27696,0.38609,0.31921,0.59676
model_281,0.35362,0.61900,0.22521,0.61581,0.34790,0.89677,0.9483094423381667,0.60494,0.50117,0.34790,0.37065,0.62234
model_77,0.34042,0.60624,0.21220,0.59783,0.35693,0.86406,0.9519815241592994,0.60529,0.34048,0.35693,0.32173,0.61049
model_344,0.33876,0.61147,0.21262,0.61051,0.34911,0.88202,0.9667900223240218,0.59943,0.39373,0.34911,0.33244,0.61556
model_431,0.32747,0.61688,0.21026,0.62269,0.30617,0.93469,0.927251566321964,0.59304,0.69902,0.30617,0.37821,0.62043
model_255,0.31899,0.61143,0.20771,0.61194,0.31986,0.91050,0.9416920945432738,0.59268,0.36945,0.31986,0.32117,0.61518
model_335,0.31654,0.59470,0.17767,0.59246,0.32166,0.87579,0.9613019695302013,0.58327,0.36427,0.32166,0.31611,0.59872
model_94,0.31184,0.60403,0.20137,0.59865,0.32778,0.88921,0.9272948350496545,0.59659,0.32668,0.32778,0.29323,0.60850
model_149,0.30776,0.60228,0.18395,0.60480,0.29888,0.91338,0.9757475280969046,0.58097,0.51170,0.29888,0.33048,0.60613
model_58,0.29136,0.61407,0.21607,0.62946,0.26108,0.97369,0.8615470445180118,0.59712,0.74988,0.26108,0.35845,0.61739
model_135,0.28620,0.60258,0.19329,0.61340,0.25579,0.95653,0.8806081837375592,0.58683,0.72548,0.25579,0.35319,0.60616
model_515,0.28589,0.57820,0.13770,0.58341,0.30290,0.86264,0.9891773096985573,0.56072,0.40872,0.30290,0.27262,0.58277
model_132,0.28112,0.55555,0.09759,0.57050,0.25364,0.86281,0.9060097610284502,0.53995,0.61362,0.25364,0.34072,0.55822
model_465,0.27723,0.56690,0.11496,0.57273,0.28708,0.85567,0.9845881015667823,0.55078,0.36355,0.28708,0.27391,0.57137
model_358,0.26344,0.58198,0.14503,0.59303,0.24358,0.92816,0.9602565075421768,0.55788,0.59440,0.24358,0.30756,0.58587
model_64,0.26062,0.60197,0.19360,0.61922,0.23435,0.97786,0.8944553868189785,0.58487,0.64167,0.23435,0.31895,0.60610
model_314,0.23320,0.58861,0.16567,0.60296,0.21541,0.97088,0.927334019493263,0.57209,0.53982,0.21541,0.27345,0.59314
model_79,0.22505,0.57514,0.13447,0.58388,0.22276,0.93628,0.9157615109412293,0.55717,0.38223,0.22276,0.23262,0.57952
model_499,0.21392,0.57814,0.14473,0.59772,0.18726,0.97824,0.8381693519981637,0.55930,0.68116,0.18726,0.27500,0.58275
model_498,0.21213,0.58161,0.14553,0.60367,0.18934,0.98268,0.8701795552056786,0.55753,0.65537,0.18934,0.26582,0.58601
model_71,0.20979,0.57597,0.13710,0.59294,0.19039,0.97019,0.8931791806614153,0.55540,0.61702,0.19039,0.25426,0.58029
model_154,0.20109,0.52725,0.02965,0.56832,0.19465,0.86877,0.9409409568887896,0.51030,0.53800,0.19465,0.22392,0.53171
model_121,0.20037,0.57533,0.14563,0.59729,0.17330,0.98591,0.9124821822527585,0.56179,0.69762,0.17330,0.26374,0.57960
model_245,0.19350,0.55010,0.09734,0.56478,0.18018,0.92938,0.920095517694057,0.54332,0.45462,0.18018,0.22538,0.55478
model_246,0.16466,0.56028,0.11167,0.58015,0.14015,0.98963,0.8684507041098165,0.54670,0.73568,0.14015,0.22457,0.56489
model_123,0.16003,0.54961,0.09540,0.56671,0.14389,0.96471,0.9035749556956588,0.53995,0.49649,0.14389,0.19733,0.55430
model_425,0.15553,0.54425,0.08545,0.56100,0.14224,0.95588,0.8442639570605276,0.53675,0.46702,0.14224,0.18679,0.54906
model_411,0.14736,0.54640,0.06961,0.56276,0.14600,0.95651,0.8970887746787137,0.51971,0.24880,0.14600,0.15487,0.55126
model_501,0.14431,0.55112,0.09099,0.57595,0.12641,0.98619,0.8894811724474729,0.52983,0.44664,0.12641,0.18487,0.55630
model_308,0.12963,0.53538,0.05351,0.55546,0.11000,0.97057,0.8577591603123199,0.52113,0.62217,0.11000,0.17812,0.54028
model_143,0.12112,0.53793,0.06330,0.56183,0.10503,0.98130,nan,0.51971,0.53088,0.10503,0.16036,0.54317
model_66,0.11816,0.53573,0.06288,0.56302,0.09996,0.98193,0.9463709937279007,0.51882,0.62309,0.09996,0.16354,0.54095
model_63,0.11193,0.54221,0.07737,0.56617,0.09565,1.00000,nan,0.52947,0.50568,0.09565,0.15177,0.54782
model_493,0.10621,0.53089,0.05248,0.55782,0.09444,0.97903,0.880080144010548,0.51491,0.43346,0.09444,0.13458,0.53673
model_309,0.10475,0.53504,0.06096,0.55817,0.08865,0.99230,0.8913876016729768,0.52077,0.56416,0.08865,0.14527,0.54047
model_469,0.09535,0.53224,0.05812,0.55880,0.08128,0.99436,nan,0.51687,0.43880,0.08128,0.12993,0.53782
model_128,0.09101,0.52957,0.05192,0.55440,0.07522,0.99525,0.9072533863492861,0.51651,0.68134,0.07522,0.13307,0.53523
model_138,0.09100,0.52403,0.04134,0.54642,0.07834,0.98049,0.8853599618427135,0.51119,0.48630,0.07834,0.12279,0.52941
model_489,0.07962,0.51996,0.03246,0.54410,0.06899,0.98275,nan,0.50675,0.31560,0.06899,0.10499,0.52587
model_67,0.07681,0.52404,0.03964,0.54672,0.06499,0.99477,0.8706213209699912,0.51119,0.41089,0.06499,0.10648,0.52988
model_241,0.07079,0.51963,0.03001,0.54454,0.05985,0.99078,0.8707998031156381,0.50497,0.47043,0.05985,0.09889,0.52531
model_238,0.07002,0.52242,0.03602,0.54940,0.05905,0.99728,0.8983555519455989,0.50515,0.45239,0.05905,0.09824,0.52816
model_129,0.06731,0.51976,0.03152,0.54425,0.05736,0.99427,0.8437955510854849,0.50710,0.36032,0.05736,0.09272,0.52581
model_413,0.06663,0.52171,0.03663,0.55074,0.05665,0.99878,nan,0.50515,0.29403,0.05665,0.09118,0.52772
model_401,0.06396,0.51191,0.01646,0.54123,0.05460,0.98084,0.8457762836089021,0.49716,0.33143,0.05460,0.08721,0.51772
model_476,0.06339,0.51769,0.02511,0.54265,0.05572,0.99134,0.8508790491509376,0.50071,0.25996,0.05572,0.08189,0.52353
model_488,0.05040,0.50912,0.01076,0.53506,0.04290,0.98755,0.8485529422244861,0.49645,0.30446,0.04290,0.06929,0.51522
model_405,0.04833,0.50992,0.01400,0.53550,0.04184,0.99027,nan,0.49734,0.27902,0.04184,0.06470,0.51606
model_472,0.04690,0.51134,0.01546,0.53679,0.04018,0.99510,nan,0.49716,0.21785,0.04018,0.06341,0.51764
model_72,0.04563,0.50729,0.00642,0.53454,0.03826,0.98891,0.9244714061009468,0.49361,0.28215,0.03826,0.06453,0.51359
model_495,0.03436,0.50665,0.00631,0.53169,0.02920,0.99666,0.9150625005291793,0.49379,0.20687,0.02920,0.04740,0.51293
